"ticker_symbol",date,open,close
AAPL,"2016-02-24","93.98","96.1"
AAPL,"2016-02-23","96.4","94.69"
AAPL,"2016-02-22","96.31","96.8708"
AAPL,"2016-02-19","96.0","96.04"
AAPL,"2016-02-18","98.84","96.26"
AAPL,"2016-02-17","96.67","98.12"
AAPL,"2016-02-16","95.02","96.555"
AAPL,"2016-02-12","94.19","93.99"
AAPL,"2016-02-11","93.79","93.7"
AAPL,"2016-02-10","95.92","94.27"
AAPL,"2016-02-09","94.29","94.99"
AAPL,"2016-02-08","93.13","95.01"
AAPL,"2016-02-05","96.52","94.02"
AAPL,"2016-02-04","95.86","96.6"
AAPL,"2016-02-03","95.0","96.35"
AAPL,"2016-02-02","95.42","94.48"
AAPL,"2016-02-01","96.47","96.43"
AAPL,"2016-01-29","94.79","97.085"
AAPL,"2016-01-28","93.79","94.09"
AAPL,"2016-01-27","96.04","93.441"
AAPL,"2016-01-26","99.93","99.99"
AAPL,"2016-01-25","101.52","99.41"
AAPL,"2016-01-22","98.63","101.42"
AAPL,"2016-01-21","97.06","96.3"
AAPL,"2016-01-20","95.1","96.826"
AAPL,"2016-01-19","98.41","96.66"
AAPL,"2016-01-15","96.2","97.02"
AAPL,"2016-01-14","97.96","99.52"
AAPL,"2016-01-13","100.32","97.371"
AAPL,"2016-01-12","100.55","99.96"
AAPL,"2016-01-11","98.97","98.53"
AAPL,"2016-01-08","98.55","96.96"
AAPL,"2016-01-07","98.68","96.45"
AAPL,"2016-01-06","100.56","100.7"
AAPL,"2016-01-05","105.75","102.714"
AAPL,"2016-01-04","102.61","105.235"
AAPL,"2015-12-31","107.01","105.26"
AAPL,"2015-12-30","108.58","107.32"
AAPL,"2015-12-29","106.96","108.74"
AAPL,"2015-12-28","107.59","106.82"
AAPL,"2015-12-24","109.0","108.03"
AAPL,"2015-12-23","107.27","108.62"
AAPL,"2015-12-22","107.4","107.23"
AAPL,"2015-12-21","107.28","107.33"
AAPL,"2015-12-18","108.91","105.9"
AAPL,"2015-12-17","112.02","108.98"
AAPL,"2015-12-16","111.07","111.338"
AAPL,"2015-12-15","111.94","110.49"
AAPL,"2015-12-14","112.18","112.48"
AAPL,"2015-12-11","115.19","113.18"
AAPL,"2015-12-10","116.04","116.17"
AAPL,"2015-12-09","117.64","115.62"
AAPL,"2015-12-08","117.52","118.23"
AAPL,"2015-12-07","118.98","118.28"
AAPL,"2015-12-04","115.29","119.03"
AAPL,"2015-12-03","116.55","115.17"
AAPL,"2015-12-02","117.05","116.28"
AAPL,"2015-12-01","118.75","117.34"
AAPL,"2015-11-30","117.99","118.35"
AAPL,"2015-11-27","118.29","117.81"
AAPL,"2015-11-25","119.21","118.03"
AAPL,"2015-11-24","117.33","118.88"
AAPL,"2015-11-23","119.27","117.76"
AAPL,"2015-11-20","119.2","119.3"
AAPL,"2015-11-19","117.64","118.78"
AAPL,"2015-11-18","115.76","117.29"
AAPL,"2015-11-17","114.92","113.69"
AAPL,"2015-11-16","111.38","114.175"
AAPL,"2015-11-13","115.2","112.34"
AAPL,"2015-11-12","116.26","115.72"
AAPL,"2015-11-11","116.37","116.12"
AAPL,"2015-11-10","116.9","116.73"
AAPL,"2015-11-09","120.96","120.57"
AAPL,"2015-11-06","121.11","121.06"
AAPL,"2015-11-05","121.85","120.92"
AAPL,"2015-11-04","123.13","122.0"
AAPL,"2015-11-03","120.79","122.57"
AAPL,"2015-11-02","119.87","121.18"
AAPL,"2015-10-30","120.99","119.5"
AAPL,"2015-10-29","118.7","120.53"
AAPL,"2015-10-28","116.93","119.28"
AAPL,"2015-10-27","115.4","114.55"
AAPL,"2015-10-26","118.08","115.21"
AAPL,"2015-10-23","116.7","119.08"
AAPL,"2015-10-22","114.33","115.47"
AAPL,"2015-10-21","114.0","113.76"
AAPL,"2015-10-20","111.34","113.78"
