"_time",referer,"uri_path",bytes
"2016-02-17T17:35:57.000-0800","http://www.buttercupgames.com/oldlink?itemId=EST-27","/cart.do",1478
"2016-02-17T17:34:39.000-0800","http://www.buttercupgames.com","/cart.do",572
"2016-02-17T17:24:34.000-0800","http://www.buttercupgames.com/category.screen?categoryId=TEE","/cart.do",1860
"2016-02-17T17:20:51.000-0800","http://www.buttercupgames.com/cart.do?action=addtocart&itemId=EST-14&categoryId=STRATEGY&productId=DC-SG-G02","/cart.do",1165
"2016-02-17T17:20:49.000-0800","http://www.buttercupgames.com/category.screen?categoryId=STRATEGY","/product.screen",1436
"2016-02-17T17:10:12.000-0800","http://www.buttercupgames.com/cart.do?action=changequantity&itemId=EST-6&productId=WC-SH-T02","/category.screen",2835
"2016-02-17T17:09:00.000-0800","http://www.buttercupgames.com/product.screen?productId=SC-MG-G10","/oldlink",2025
"2016-02-17T17:08:56.000-0800","http://www.buttercupgames.com/product.screen?productId=SF-BVS-G01","/rush/signals.zip",3215
"2016-02-17T17:02:26.000-0800","http://www.buttercupgames.com/cart.do?action=addtocart&itemId=EST-21&categoryId=SIMULATION&productId=SC-MG-G10","/cart.do",893
"2016-02-17T17:00:43.000-0800","http://www.buttercupgames.com/category.screen?categoryId=ACCESSORIES","/product.screen",3020
"2016-02-17T16:54:07.000-0800","http://www.buttercupgames.com/category.screen?categoryId=NULL","/cart.do",2606
"2016-02-17T16:54:06.000-0800","http://www.buttercupgames.com/cart.do?action=addtocart&itemId=EST-21&categoryId=ARCADE&productId=MB-AG-G07","/cart.do",1301
"2016-02-17T16:54:04.000-0800","http://www.buttercupgames.com/category.screen?categoryId=ARCADE","/product.screen",2311
"2016-02-17T16:54:04.000-0800","http://www.buttercupgames.com/cart.do?action=addtocart&itemId=EST-26&categoryId=SHOOTER&productId=WC-SH-G04","/cart.do",2450
"2016-02-17T16:54:02.000-0800","http://www.buttercupgames.com/oldlink?itemId=EST-27","/product.screen",2200
"2016-02-17T16:52:59.000-0800","http://www.buttercupgames.com/oldlink?itemId=EST-11","/cart.do",2498
"2016-02-17T16:52:57.000-0800","http://www.buttercupgames.com/cart.do?action=addtocart&itemId=EST-14&productId=FS-SG-G03","/cart.do",1616
"2016-02-17T16:51:17.000-0800","http://www.buttercupgames.com/cart.do?action=remove&itemId=EST-26&productId=WC-SH-G04","/oldlink",3075
"2016-02-17T16:49:59.000-0800","http://www.buttercupgames.com/cart.do?action=purchase&itemId=EST-15","/cart/success.do",2095
"2016-02-17T16:48:28.000-0800","http://www.buttercupgames.com/cart.do?action=addtocart&itemId=EST-27&categoryId=ACCESSORIES&productId=WC-SH-A02","/cart.do",2300
"2016-02-17T16:33:02.000-0800","http://www.buttercupgames.com/product.screen?productId=SF-BVS-G01","/oldlink",2422
"2016-02-17T16:30:49.000-0800","http://www.buttercupgames.com/cart.do?action=changequantity&itemId=EST-13&productId=MB-AG-T01","/product.screen",2654
"2016-02-17T16:28:24.000-0800","http://www.buttercupgames.com/product.screen?productId=SF-BVS-G01","/hidden/anna_nicole.html",531
"2016-02-17T16:28:24.000-0800","http://www.buttercupgames.com/category.screen?categoryId=ACCESSORIES","/oldlink",2712
"2016-02-17T16:28:22.000-0800","http://www.buttercupgames.com/product.screen?productId=WC-SH-T02","/oldlink",2741
"2016-02-17T16:28:19.000-0800","http://www.buttercupgames.com/oldlink?itemId=EST-7","/product.screen",2702
"2016-02-17T16:28:17.000-0800","http://www.buttercupgames.com","/category.screen",1179
"2016-02-17T16:26:03.000-0800","http://www.buttercupgames.com/category.screen?categoryId=SPORTS","/oldlink",2543
"2016-02-17T16:22:14.000-0800","http://www.buttercupgames.com/oldlink?itemId=EST-26","/product.screen",565
